层级,任务路径,任务名称,任务描述,责任主体,所需资源,父级任务,前置任务,后置任务
0,总体应急目标,总体应急目标,快速反应、科学处置、减少人员伤亡和财产损失,项目部应急领导小组,全体应急资源,无,无,无
1,总体应急目标 > 事故预警,事故预警,识别风险、发布预警、调整施工,综合协调组；技术支持组,监测信息；预警系统,总体应急目标,总体应急目标,事故报告
2,总体应急目标 > 事故预警 > 风险监测,风险监测,风险辨识与监控,技术支持组,风险评估工具,事故预警,事故预警,预警发布
3,总体应急目标 > 事故预警 > 风险监测 > 日常巡查,日常巡查,定期检查施工设备、船舶状况,技术支持组,检查表；监测仪器,风险监测,风险监测,环境监测
3,总体应急目标 > 事故预警 > 风险监测 > 环境监测,环境监测,监控风力、潮汐、能见度等气象条件,技术支持组,气象信息系统,风险监测,日常巡查,风险监测
2,总体应急目标 > 事故预警 > 预警发布,预警发布,分级发布蓝/黄/橙/红预警,项目部应急办公室,预警信息通告,事故预警,风险监测,事故预警
3,总体应急目标 > 事故预警 > 预警发布 > 信息通报,信息通报,发布预警通知至各小组,综合协调组,预警通知单,预警发布,预警发布,预警发布
1,总体应急目标 > 事故报告,事故报告,发现事故、逐级报告、上报政府,信息联络组；现场处置小组,通讯工具；报告模板,总体应急目标,事故预警,应急响应
2,总体应急目标 > 事故报告 > 事故发现,事故发现,现场人员立即上报,现场处置小组,通讯工具,事故报告,事故报告,信息汇总
3,总体应急目标 > 事故报告 > 事故发现 > 报告内容确认,报告内容确认,报告事故时间、地点、人员伤亡,现场处置小组,通讯工具,事故发现,事故发现,事故发现
2,总体应急目标 > 事故报告 > 信息汇总,信息汇总,项目部应急办公室汇总情况,信息联络组,事故信息表,事故报告,事故发现,上报政府
3,总体应急目标 > 事故报告 > 信息汇总 > 核实信息,核实信息,对接监理和建设单位确认信息,信息联络组,事故信息表,信息汇总,信息汇总,信息汇总
2,总体应急目标 > 事故报告 > 上报政府,上报政府,逐级上报交通局、应急局、海事局,信息联络组,联系方式清单,事故报告,信息汇总,事故报告
3,总体应急目标 > 事故报告 > 上报政府 > 逐级汇报,逐级汇报,按要求向交通、应急、海事局上报,信息联络组,联系方式清单,上报政府,上报政府,上报政府
1,总体应急目标 > 应急响应,应急响应,启动预案、组织队伍、调配资源,项目部应急领导小组,应急车辆；通信装备,总体应急目标,事故报告,现场处置
2,总体应急目标 > 应急响应 > 分级响应,分级响应,根据严重程度启动Ⅰ级或Ⅱ级,项目部应急领导小组,响应分级标准,应急响应,应急响应,任务分工
3,总体应急目标 > 应急响应 > 分级响应 > 启动Ⅱ级响应,启动Ⅱ级响应,项目内部组织自救,项目部应急领导小组,项目部资源,分级响应,分级响应,启动Ⅰ级响应
3,总体应急目标 > 应急响应 > 分级响应 > 启动Ⅰ级响应,启动Ⅰ级响应,请求社会力量支援,项目部应急领导小组,政府应急资源,分级响应,启动Ⅱ级响应,分级响应
2,总体应急目标 > 应急响应 > 任务分工,任务分工,各小组按职责执行,工程抢险组；医疗救护组,救援任务单,应急响应,分级响应,应急响应
